Subject Code,Main Data,Secondary Data,Finger Counting Data,Exclude Data,Reason,Other comments,Node
Treccani_S01_130417,treccani_s01_130417_data.mat,treccani_s01_130417_secondary_data.mat,treccani_s01_130417_fingercounting.mat,FALSE,NA,"between the 1st and 2nd block, the subject asked ""how many blocks are there?"".  I answered 5.  During the calibration (2nd block) the subject asked ""Is it still the second block?""",ecdmw
Treccani_S02_130417,treccani_s02_130417_data.mat,treccani_s02_130417_secondary_data.mat,treccani_s02_130417_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S03_140417,treccani_s03_140317_data.mat,treccani_s03_140417_secondary_data.mat,treccani_s03_140417_fingercounting.mat,FALSE,NA,"between the 3rd and 4th block subject asked  ""there are 5 blocks, right?""",ecdmw
Treccani_S04_050517,treccani_s04_050517_data.mat,treccani_s04_050517_secondary_data.mat,treccani_s04_050517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S05_100517,treccani_s05_100517_primary_data.mat,treccani_s05_100517_secondary_data.mat,treccani_s05_100517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S06_100517,treccani_s06_100517_primary_data.mat,treccani_s06_100517_secondary_data.mat,treccani_s06_100517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S07_110517,treccani_s07_110517_data.mat,treccani_s07_110517_secondary_data.mat,treccani_s07_110517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S08_150517,treccani_s08_150517_primary_data.mat,treccani_s08_150517_secondary_data.mat,treccani_s08_150517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S09_150517,treccani_s09_150517_primary_data.mat,treccani_s09_150517_secondary_data.mat,treccani_s09_150517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S10_160517,treccani_s10_160517_primary_data.mat,treccani_s10_160517_secondary_data.mat,treccani_s10_160517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S11_160517,treccani_s11_160517_data.mat,treccani_s11_160517_secondary_data.mat,treccani_s11_160517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S12_190517,treccani_s12_190517_data.mat,treccani_s12_190517_secondary_data.mat,treccani_s12_190517_fingercounting.mat,FALSE,NA,"The subject asked ""this is the 4th block, isn't it?""",ecdmw
Treccani_S13_230517,treccani_s13_230517_data.mat,treccani_s13_230517_secondary_data.mat,treccani_s13_230517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S14_240517,treccani_s14_240517_data.mat,treccani_s14_240517_secondary_data.mat,treccani_s14_240517_fingercounting.mat,FALSE,NA,"at the end of the 1st block subject asked ""There are 5 blocks, aren't there?""",ecdmw
Treccani_S15_240517,treccani_s15_240517_data.mat,treccani_s15_240517_secondary_data.mat,treccani_s15_240517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S16_250517,treccani_s16_250517_primary_data.mat,treccani_s16_250517_secondary_data.mat,treccani_s16_250517_fingercounting.mat,FALSE,NA,"subject asked ""how many blocks are there?"" I answered ""5""; the subject asked ""how many trials are there for each block?"" I answered ""160""",ecdmw
Treccani_S17_250517,treccani_s17_250517_data.mat,treccani_s17_250517_secondary_data.mat,treccani_s17_250517_fingercounting.mat,FALSE,NA,"at the end of the 2nd block subject asked ""how many blocks are there left?"" I answered ""3""; subject asked ""what time is it?"" I answered ""17.30""; at the end of the 4th block subject asked ""How many blocks are there left?"" I answered ""1""",ecdmw
Treccani_S18_260517,treccani_s18_260517_data.mat,treccani_s18_260517_secondary_data.mat,treccani_s18_260517_fingercounting.mat,FALSE,NA,"at the end of the 3rd block, the subject asked ""There are 5 blocks, aren't there?",ecdmw
Treccani_S19_290517,treccani_s19_290517_primary_data.mat,treccani_s19_290517_secondary_data.mat,treccani_s19_290517_fingercounting.mat,FALSE,NA,"between the 2nd and 3rd block the subject asked ""There are 3 blocks left, am I right?""",ecdmw
Treccani_S20_290517,treccani_s20_290517_primary_data.mat,treccani_s20_290517_secondary_data.mat,treccani_s20_290517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S21_290517,treccani_s21_290517_primary_data.mat,treccani_s21_290517_secondary_data.mat,treccani_s21_290517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S22_300517,treccani_s22_300517_data.mat,treccani_s22_300517_secondary_data.mat,treccani_s22_300517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S23_300517,treccani_s23_300517_primary_data.mat,treccani_s23_300517_secondary_data.mat,treccani_s23_300517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S24_310517,treccani_s24_310517_data.mat,treccani_s24_310517_secondary_data.mat,treccani_s24_310517_fingercounting.mat,FALSE,NA,"at the end of 3rd block subject asked ""There are 2 blocks left, aren't there""",ecdmw
Treccani_S25_310517,treccani_s25_310517_data.mat,treccani_s25_310517_secondary_data.mat,treccani_s25_310517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S26_310517,treccani_s26_310517_primary_data.mat,treccani_s26_310517_secondary_data.mat,treccani_s26_310517_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S27_010617,treccani_s27_010617_data.mat,treccani_s27_010617_secondary_data.mat,treccani_s27_010617_fingercounting.mat,FALSE,NA,"at the end of 2nd block subject asked ""There are 5 blocks, aren't there?",ecdmw
Treccani_S28_050617,treccani_s28_050617_data.mat,treccani_s28_050617_secondary_data.mat,treccani_s28_050617_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S29_060617,treccani_s29_060617_data.mat,treccani_s29_060617_secondary_data.mat,treccani_s29_060617_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S30_090617,treccani_s30_090617_data.mat,treccani_s30_090617_secondary_data.mat,treccani_s30_090617_fingercounting.mat,FALSE,NA,N/A,ecdmw
Treccani_S31_090617,treccani_s31_090617_data.mat,treccani_s31_090617_secondary_data.mat,treccani_s31_090617_fingercounting.mat,FALSE,NA,"between the 3rd and the 4th block, subject asked ""This is the 4th block, isn't it?""",ecdmw
Treccani_S32_120617,treccani_s32_120617_data.mat,treccani_s32_120617_secondary_data.mat,treccani_s32_120617_fingercounting.mat,FALSE,NA,N/A,ecdmw
